,Unnamed: 0,Source File,Animal Name,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Temperament,Training,title,genus,species,name
2137,2137,httpsa-z-animalscomanimalsrottweiler.html,Rottweiler,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Carnivore,,,Rottweiler,,,"Strong, loyal and self-assured!",Working,Hair,,12 years,132lbs,,,,"Loyal, affectionate, calm, quiet, sensitive and protective",,Rottweiler,,,rottweiler
2138,2138,httpsa-z-animalscomanimalsrough earth snake.html,Rough Earth Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Haldea,Haldea striatula,"Earthworms, slugs, snails, sow bugs, insect eggs, and larvae.",Neonates,Solitary except during mating season,It has a pointed snout that is uses to burrow into moist soil.,,,,"Brown ground snake, brown snake, ground snake, little brown snake, little striped snake, small brown viper, small-eyed brown snake, southern ground snake, striated viper, and worm snake",,,Omnivore,3-8,"Nocturnal</li><li class=""list-item"">Diurnal",,,,,,Scales,,5-7 years,,7-10 inches,,,,,,,,
2139,2139,httpsa-z-animalscomanimalsrough green snake.html,Rough Green Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Opheodrys,Opheodrys aestivus,"Insects, snails, spiders, and small frogs",,,Rough green snakes are great pet snakes because they're low-maintenance.,,,,"Grass snake, green grass snake",,Wetland areas,Carnivore,3-12 eggs,,Rough green snake,,,,,Scales,,5-8 years in the wild; 5-15 years in captivity,,Typically about 32 inches but can reach 2.5-3 feet,,,,,,,,
2140,2140,httpsa-z-animalscomanimalsrough-legged hawk (rough-legged buzzard).html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,2141,httpsa-z-animalscomanimalsrove beetle.html,Rove Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,Small insects,Larvae,Solitary,"When threatened, rove beetles raise the ends of their body like scorpions, but they have no sting.",,,Short elytron that covers less than half of their abdominal segments.,Charlie ant,,Rove beetles nest in decaying organic matter and soil.,Omnivore,,Nocturnal,Rove beetles,,Worldwide,,,Exoskeleton,,40 - 72 days,,3mm-2.5mm (0.125inch - 1inch),,,,,,,,
2142,2142,httpsa-z-animalscomanimalsroyal penguin.html,Royal Penguin,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes schlegeli,,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,Can reach speeds of 20mph!,,Feathers,,15 - 20 years,3kg - 6kg (6.6lbs - 13lbs),,,,,,,,,
2143,2143,httpsa-z-animalscomanimalsrubber boa.html,Rubber Boa,Animalia,Chordata,Reptilia,Squamata,Boidae,Charina,Charina bottae," Lizards, rodents",,"Solitary</li><li class=""list-item"">Solitary except during mating season",Rubber boas are one of North America’s only boa species.,,,,,,,,1-5 babies,Nocturnal,Rubber boa,,,,,,,12-25 years,,14-33 inches,,,,,,,,
2144,2144,httpsa-z-animalscomanimalsruby-crowned kinglet.html,Ruby-Crowned Kinglet,Animalia,Chordata,Aves,Passeriformes,Regulidae,Corthylio,Corthylio Calendula,,Hatchlings,Solitary/Pairs,,100 million,,,,,"Tall, dense conifer forests",Omnivore,,,,,,,,Feathers,,Up to 5 years,0.24 oz,3.5 - 4.3 inches,1 year,,,,,,,
2145,2145,httpsa-z-animalscomanimalsruby-throated hummingbird.html,Ruby-Throated Hummingbird,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus colubris,"Small insects, beetles, ants, aphids, gnats, mosquitoes, and wasps",,,Ruby-throated hummingbirds can beat their wings more than 50 times per second.,7 million,Habitat loss,Male’s ruby-red throat,Eastern hummingbird,,Open woodlands,Omnivore,2,,Hummingbird,1.0,Eastern United States and Caribbean,,,Feathers,40 mph,3-5 years,0.11 ounces,2.3 - 3.5 inches,,,,,,,,
2146,2146,httpsa-z-animalscomanimalsruddy duck.html,Ruddy Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,,,,Ruddy duck breeding males have bright blue bills!,,,,,,,Omnivore,,Nocturnal,,,,,,,,Up to 13 years,10.6 to 30.0 ounces,13.8 to16.9 inches,,,,,,,,
2147,2147,httpsa-z-animalscomanimalsruddy turnstone.html,Ruddy Turnstone,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,"Insects, crustaceans, seeds, fish",,,They flip over stones to find prey,"300,000-500,000",Disease,"Brown, orange, black feathers",Turnstone,,"Coastlines, wetlands, grasslands",Omnivore,2-5,,Turnstone,2.0,Worldwide,,,,, 9-19 years,3 oz -5.3 oz,8-9 inches,,,,,,,,
2148,2148,httpsa-z-animalscomanimalsrufous hummingbird.html,Rufous Hummingbird,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,Selasphorus rufus,Some insects,,Solitary/Pairs,The males have a glowing iridescent orange patch on their chests.,,Loss of habitat and food due to climate change.,Reddish-orange coloring.,,,,Omnivore,,,,1.0,North America,,,Feathers,,,,2-3 inches,,Less than 1 month,,,,,,
2149,2149,httpsa-z-animalscomanimalsrussell terrier.html,Russell Terrier,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Russell Terrier was bred to be a good fox hunter with a keen sense of smell,,,,,,,Omnivore,,,,,,,,Hair,,13 – 16 years,,,,,"Curious, alert, and friendly",,,,,
2150,2150,httpsa-z-animalscomanimalsrussel’s viper.html,"Not found, error 404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,2151,httpsa-z-animalscomanimalsrussian bear dog.html,Russian Bear Dog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The bite of a Russian Bear Dog is stronger than a lion’s bite.,,,,,,,Omnivore,,,,,,,,Hair,,10 to 12 years,170 pounds,,,,Bold and Fearless,,,,,
2152,2152,httpsa-z-animalscomanimalsrussian blue.html,Russian Blue,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,"The Russian blue cat is also known as the Archangel blue cat, and is thought to have originated from the port of Arkhangelsk in Russia.",,,,"Archangel Cat, Archangel Blue",,,Carnivore,6,,Russian Blue,,,First brought to the UK in the 1800s!,Shorthair,Hair,,15-20 years,7-15lbs,,,,"Independent, easy-going and loyal",,Russian Blue,,,russian blue
2153,2153,httpsa-z-animalscomanimalsrussian tortoise.html,Russian Tortoise,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Agrionemys,Agrionemys horsfieldii,,hatchlings,Semi-social,Known by at least five different names,,Humans,Spiked tail,"Central Asian Tortoise, Afghan Tortoise, Steppe Tortoise",56-84 days,arid steppes,Herbivore,five eggs,,Russian Tortoise,,Central Asia,,Social but territorial,Hard Outer Shell,5 mph,"80 years, 40 years in captivity",0.5-2.5 lbs,5-10 in.,10 yrs,,,,,,,
2154,2154,httpsa-z-animalscomanimalssaanen goat.html,Saanen Goat,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,grass and legume,kid or billy,,The saanen goat is the most popular milk breed.,"900,000",,white skin and short white coat,"Saanenziege, Chèvre de Gessenay, and Capra di Saanen",,cool weather and hilly terrain,Omnivore,2,"Herd</li><li class=""list-item"">Flock",saanen goat,8.0,,,herd,Hair,,about 10 years,,,9 months,12 months,calm,,,,,
2155,2155,httpsa-z-animalscomanimalssaarloos wolfdog.html,Saarloos Wolfdog,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Omnivore,,,,,,,,Hair,,,,,,,,,,,,
2156,2156,httpsa-z-animalscomanimalssaber-toothed tiger.html,Saber-Toothed Tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Smilodon,Smilodon populator,,,,,,,,,,Forests and grasslands,Carnivore,3,Pack,,,,Canines up to 7 inches long!,,Fur,,20 - 40 years,300kg (661lbs),2m - 2.5m (79in - 98in),,,,,,,,
2157,2157,httpsa-z-animalscomanimalssable black german shepherd.html,Sable Black German Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,"According to the American Kennel Club, the German Shepherd is the second most popular breed in the United States",,,,,,,Omnivore,5-9 puppies,,,,,,,Hair,30 mph,9-13 years,,,,,"Intelligent, loyal, and courageous",,,,,
2158,2158,httpsa-z-animalscomanimalssable ferret.html,Sable Ferret,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,Rabbits and vermin if it is used for ferreting,Kit,Gregarious,Ferrets were used during the Revolutionary War to keep down the rat population.,Millions. The conservation status is “domesticated.”,,"Its beautiful, dark brown fur",Poley,42 days,"Among humans, though native habitats are forests and woods near water.",Carnivore,As many as 15 kits,,Sable Ferret,1.0,Cosmopolitan,,A business or busyness,Fur,15 mph,Six to 10 years,0.66 to 5.95 pounds,"20 inches including the tail, males larger than females",6 months,Three to six weeks,,,,,,
2159,2159,httpsa-z-animalscomanimalssable german shepherd.html,Sable German Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,The gene responsible for their color is also found in wolves.,,,,Agouti German Shepherd,,,Omnivore,5-9 puppies,,,,,,Herding,Fur,,9-13 years,50-95 lbs,,3 years,,,,,,,
2160,2160,httpsa-z-animalscomanimalssable.html,Sable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes zibellina,"Molluscs, hares, rodents, musk deer",Cub,Solitary,Their fur has been considered a luxury item since the Middle Ages,2.3 million,Poaching,Luxurious fur,,245 to 298 days,Dense forest,Omnivore,1 to 7,,Sable,,"Russia, Mongolia, parts of China and Korean Peninsula",,Solitary,Fur,,18 to 22 years,2 to 4 pounds,35 to 36 centimeters,2 years,7 weeks,,,Sable,martes,zibellina,sable
2161,2161,httpsa-z-animalscomanimalssaddleback caterpillar.html,Saddleback Caterpillar,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Acharia,Acharia stimulea,,Larvae,Solitary,"Saddleback caterpillars are solitary in nature, unlike many of their cousins that live in pairs or groups. They only intermingle when it's time to mate and lay eggs.",,,Sucker discs at the ends of their legs,,,Ornamental shrubs and shade trees,Herbivore,,Solitary,Saddleback caterpillar,1799.0,North America and Mexico,,,Exoskeleton,,10 days after mating,,0.75 inches,,,,,,,,
2162,2162,httpsa-z-animalscomanimalssaiga.html,Saiga,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,Saiga tatarica,,calves,Herd,Large noses help filter out dust,"50,000-150,000",poaching,Large nose with downward-facing nostrils,,5 months,"arid grasslands, steppes",Herbivore,1-2,Herd,Saiga,2.0,Central Asia,,,Hair,80 mph,10-12yrs,30-45kg (66-99lbs),1-1.5m (3.2-5ft),8 months to 2 years,4 months,,,,,,
2163,2163,httpsa-z-animalscomanimalssailfish.html,Sailfish,Animalia,Chordata,Actinopterygii,Istiophoriformes,Istiophoridae,Istiophorus,Istiophorus platypterus,fish and squid,Juvenile or fry,School,"Sailfish are one of the fastest fish in the world, swimming over 60 MPH!",,Sport fishing,,,,,Carnivore,,Solitary,,,,Fast billfish with a sail-like dorsal fin,,Scales,70 mph,,,,,,,,Sailfish,istiophorus,,sailfish
2164,2164,httpsa-z-animalscomanimalssaint berdoodle.html,Saint Berdoodle,Animalia,,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,
2165,2165,httpsa-z-animalscomanimalssaint bernard.html,Saint Bernard,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Saint Bernard dogs have a slow progression into mental adulthood, maintaining their puppy-like tendencies for years longer than other breeds.",,,,,,,Omnivore,,,Saint Bernard,,,"Gentle, loyal and friendly!",Mastiff,Hair,,10 years,91kg (200lbs),,,,"Intelligent, friendly, loyal",,,,,
2166,2166,httpsa-z-animalscomanimalssaint shepherd.html,Saint Shepherd,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"These dogs have an eager-to-please attitude, making them sweet and happy pets.",,,,,,,Omnivore,,,,,,,,Hair,,10 to 14 years,150 lbs,,,,"Friendly, intelligent, eager-to-please",,,,,
2167,2167,httpsa-z-animalscomanimalssalamander.html,Salamander,Animalia,Chordata,Amphibia,Caudata,Salamandroidea,,Caudata,,,,,,,,,,"Rainforest, streams and wetlands",Carnivore,300,Solitary,,,,There are more than 700 different species!,,Permeable Scales,30 mph,5-20 years,0.1-65kg (0.2-143lbs),,,,,,Salamander,,,salamanders
2168,2168,httpsa-z-animalscomanimalssalmon shark.html,Salmon Shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna ditropis,fish,,Solitary,Salmon sharks are related to Great Whites.,unknown,humans,"short snout, two keels",Pacific Porbeagle,9 months,"marine, ocean",Carnivore,,,Salmon Shark,1.0,,,,Plate-like scales,50 mph,20-27 years,210lbs-660lbs,1.8m - 3m (6ft - 10ft),,,,,,,,
2169,2169,httpsa-z-animalscomanimalssalmon.html,Salmon,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,,Salmonidae,"Worms, squid, crustaceans, and other fish",,Solitary,Returns upstream every year to spawn,Millions,Habitat change,The physical transformation in spawning season,,,"Open seas, lakes, or streams",Carnivore,,,Salmon,8.0,,,,Scales,,Up to 7 years,23 lbs,58 inches,,,,,Salmon,salmo,salar,salmon
2170,2170,httpsa-z-animalscomanimalssaluki.html,Saluki,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,The Saluki is one of the fastest dog breeds in the world.,,,,,,,Omnivore,4-8 puppies,,,,,,,Hair,43 mph,10-17 years,35-65 lbs,,,,,,Saluki,,,saluki
2171,2171,httpsa-z-animalscomanimalssambar.html,Sambar,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Rusa unicolor,,Fawn,Solitary/Group,Male sambars will compete for mates by clashing together with their antlers,Unknown,Habitat loss and hunting,The large antlers of the male,Sambhur or sambur,8-9 months,Forests and grasslands,Herbivore,1-2 fawns,,Sambar,1.0,South Asia,,,Fur,,26 years,"109-544kg (240-1,200lbs)",1.5-2.4m (5-8ft),2 years,,,,,,,
2172,2172,httpsa-z-animalscomanimalssamoyed.html,Samoyed,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Omnivore,,,Samoyed,,,,,Hair,,12 to 14 years,,,,,"Gentle, friendly, adaptable",,,,,
2173,2173,httpsa-z-animalscomanimalssan francisco garter snake.html,San Francisco Garter Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis tetrataenia,"Frogs, fish, birds, reptiles, and small mammals",,,The San Francisco garter snake is among the rarest snake species in the United States.,,,,,,,,10-40 live young,,San Francisco garter snake,,,,,Scales,,6-14 years,,18-55 inches,,,,,,,,
2174,2174,httpsa-z-animalscomanimalssand cat.html,Sand Cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis margarita,"Insects, birds, rodents, snakes",Kitten,Solitary,They can survive for weeks without drinking water because the get moisture from their prey.,27.200,Loss of habitat,"Large, low ears, short legs, long tails",Sand dune cat,59-67 days,Desert,Carnivore,"1-8 kittens, but typically 2-4.",Nocturnal,Sand cat,-2.0,"North Africa, Middle East, Central Asia",,,Fur,25 mph,18 years in captivity,3.3-7.5 lbs,15-20 inches long with a tail adding an additional 9-12 inches of length,9-14 months,5 weeks,Not aggressive,,,,,
2175,2175,httpsa-z-animalscomanimalssand crab.html,Sand Crab,Animalia,Arthropoda,Malacostraca,Decapoda,,,,Plankton and dinoflagellates,Larvae,Solitary,The sand crab burrows beneath the sand with its tail,Unknown,Habitat loss,The heavy armored shell,Mole crab and sand flea,3-4 months,Beaches and dunes,Omnivore,"Up to 45,000 eggs",,Sand Crab,,Worldwide,,,Exoskeleton,,2-3 years,Less than 1kg (2lbs),2-5cm (0.75-2in),1-2 years,,,,,,,
2176,2176,httpsa-z-animalscomanimalssand dollar.html,Sand Dollar,Animalia,Echinodermata,Echinoidea,Clypeasteroida,,,,Algae,Larvae,Beds (like reefs),Sand Dollar skeletons make popular collection items for seashell collectors.,,Habitat decline,Five-pointed design on skeleton,,,Sandy sea floor,Herbivore,,,,238.0,,,,Shell,,6-10 years,,3-4 inches,,,,,,,,
2177,2177,httpsa-z-animalscomanimalssand lizard.html,Sand Lizard,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis,,,,Males turn green in spring!,,,,,,Grass and heathland,Carnivore,,Solitary,,,,Males turn green in spring!,,Scales,30 mph,5 - 8 years,10g - 15g (0.35oz - 0.5oz),13cm - 20cm (5in - 7.8in),,,,,,,,
2178,2178,httpsa-z-animalscomanimalssand tiger shark.html,Sand Tiger Shark,Animalia,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,,,"Bony fish, other sharks, crustaceans, squid, skates and rays",,Solitary/Group,The sand tiger is the shark most commonly seen in aquariums.,"Unknown, but its population decreased by 20 percent in just the last decade due to overfishing.",Humans,It gulps air to keep buoyant.,"spotted ragged-tooth shark, blue-nurse sand tiger, grey nurse shark, spotted sand tiger shark, chien de mer, dogfish shark, slender-tooth shark, magonga, requin taureau, ground shark",Eight to twelve months,Shallow tropical and temperate waters close to the shore,Carnivore,,,Sand tiger shark,4.0,,,,Rough,0.87 mph,13 to 35 years,110 to 660.79 pounds,6.6 to 10.5 feet,,,,,,,,
2179,2179,httpsa-z-animalscomanimalssand viper.html,Sand Viper,Animalia,Chordata,Reptilia,Squamata,Viperidae,Cerastes,Cerastes viperus,"lizards, geckos, small mammals",,Solitary,Sand vipers are nuisance snakes in some areas.,,,,"Saharan Sand Viper, Common Sand Viper",,,Carnivore,up to eight live young,,sand viper,,,,,Scales,,15 - 18 years,,12 - 20 inches,,,,,,,,
2180,2180,httpsa-z-animalscomanimalssandhill crane.html,Sandhill Crane,Animalia,Chordata,Aves,Gruiformes,Gruidae,Antigone,A. canadensis,Occasional small mammals,Fledglings,"Family units</li><li class=""list-item"">Flock",,,"Habitat Loss, Predation",,,,Marshes and Bogs,Herbivore,,Flock,,,,,,,,20 years or more,7.1-11 pounds,,2 years,,,,,,,
2181,2181,httpsa-z-animalscomanimalssandpiper.html,Sandpiper,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,,,"Invertebrates, insects, spiders, clams, shrimp, frogs, fish, etc.",Chicks,"Flock</li><li class=""list-item"">Solitary/Group</li><li class=""list-item"">Solitary/Pairs</li><li class=""list-item"">Pair</li><li class=""list-item"">Flocks","Some sandpipers can migrate more than 8,000 miles without stopping!",,"Human activity and habitat destruction, introduced species, climate change",long bills and long legs,"They go by many names, including sandpipers, godwits, snipes, curlews, dowitchers, phalaropes, woodcocks, tattlers, yellowlegs, greenshanks, redshanks, turnstones, the Sanderling, the Surfbird, the Ruff, and the Dunlin.",,"Shores or grasslands, sometimes wooded areas",Omnivore,,"Diurnal</li><li class=""list-item"">Flock</li><li class=""list-item"">Nocturnal/Crepuscular",,95.0,Worldwide except Antarctica,,Flock,Feathers,60 mph,,1 ounce to 3 pounds,5.5 inches to 26 inches,,,,,Sandpiper,,,sandpipers
2182,2182,httpsa-z-animalscomanimalssandworm.html,Sandworm,Animalia,Annelida,,Phyllodocida,Nereididae,Alitta,Alitta virens,"Fish, crustaceans, mollusks",Larvae,Solitary,Legs also function as gills,,Overharvesting,Thick pincers,King ragworm,,Beaches and mudflats,Omnivore,,Nocturnal,,1.0,Atlantic coasts,,,Smooth,,Up to 3 years,,Up to 4 feet,1-3 years,,,,,,,
